week,mean,median,min,max
2021-08-09,70.42857142857143,70.0,65,76
2021-08-16,73.0,72.0,70,78
2021-08-23,75.28571428571429,75.0,71,79
2021-08-30,72.85714285714286,73.0,71,74
2021-09-06,51.285714285714285,46.0,31,79
2021-09-13,46.714285714285715,49.0,30,53
2021-09-20,30.428571428571427,27.0,21,50
2021-09-27,32.142857142857146,26.0,20,54
2021-10-04,67.71428571428571,71.0,54,76
2021-10-11,73.85714285714286,71.0,70,79
2021-10-18,77.28571428571429,75.0,73,84
2021-10-25,72.0,73.0,66,76
2021-11-01,73.28571428571429,73.0,71,76
2021-11-08,75.85714285714286,75.0,72,84
2021-11-15,53.57142857142857,52.0,34,72
2021-11-22,36.0,33.0,21,50
2021-11-29,30.428571428571427,32.0,18,40
2021-12-06,23.571428571428573,25.0,16,29
2021-12-13,26.0,28.0,21,29
2021-12-20,35.42857142857143,37.0,25,45
2021-12-27,29.714285714285715,28.0,21,41
2022-01-03,20.285714285714285,23.0,10,29
2022-01-10,21.714285714285715,21.0,21,23
2022-01-17,19.571428571428573,22.0,11,24
2022-01-24,20.714285714285715,23.0,12,29
2022-01-31,26.285714285714285,26.0,20,37
2022-02-07,47.857142857142854,48.0,44,54
2022-02-14,39.57142857142857,46.0,25,52
2022-02-21,24.571428571428573,25.0,20,27
2022-02-28,34.142857142857146,33.0,20,52
2022-03-07,22.714285714285715,22.0,21,28
2022-03-14,25.571428571428573,25.0,21,31
2022-03-21,39.142857142857146,40.0,26,51
2022-03-28,53.285714285714285,52.0,48,60
2022-04-04,41.142857142857146,37.0,30,53
2022-04-11,26.142857142857142,28.0,20,32
2022-04-18,25.571428571428573,26.0,24,27
2022-04-25,22.857142857142858,23.0,20,27
2022-05-02,23.714285714285715,23.0,18,28
2022-05-09,10.571428571428571,10.0,9,12
2022-05-16,12.428571428571429,13.0,8,14
2022-05-23,12.0,12.0,10,14
2022-05-30,12.857142857142858,13.0,10,17
2022-06-06,13.571428571428571,13.0,11,17
2022-06-13,7.714285714285714,7.0,6,11
2022-06-20,11.285714285714286,11.0,9,14
2022-06-27,11.714285714285714,11.0,10,14
2022-07-04,19.571428571428573,19.0,14,24
2022-07-11,18.714285714285715,18.0,15,24
2022-07-18,29.857142857142858,31.0,20,34
2022-07-25,33.714285714285715,32.0,26,42
2022-08-01,31.428571428571427,31.0,30,34
2022-08-08,39.857142857142854,42.0,30,47
2022-08-15,35.57142857142857,33.0,27,45
2022-08-22,27.142857142857142,28.0,25,29
2022-08-29,22.857142857142858,23.0,20,27
2022-09-05,23.571428571428573,23.0,20,28
2022-09-12,26.142857142857142,27.0,20,34
2022-09-19,22.428571428571427,23.0,20,24
2022-09-26,21.142857142857142,21.0,20,24
2022-10-03,23.428571428571427,24.0,20,26
2022-10-10,22.571428571428573,24.0,20,24
2022-10-17,22.0,23.0,20,23
2022-10-24,29.285714285714285,32.0,20,34
2022-10-31,32.714285714285715,30.0,30,40
2022-11-07,26.142857142857142,25.0,21,33
2022-11-14,22.714285714285715,23.0,20,24
2022-11-21,21.857142857142858,22.0,20,26
2022-11-28,27.142857142857142,27.0,26,29
2022-12-05,26.285714285714285,26.0,25,29
2022-12-12,28.285714285714285,28.0,26,31
2022-12-19,28.142857142857142,29.0,26,29
2022-12-26,27.142857142857142,28.0,25,28
2023-01-02,26.714285714285715,26.0,25,29
2023-01-09,33.714285714285715,30.0,25,52
2023-01-16,50.0,51.0,45,53
2023-01-23,52.714285714285715,52.0,50,55
2023-01-30,57.714285714285715,58.0,51,61
2023-02-06,52.857142857142854,54.0,48,58
2023-02-13,56.285714285714285,60.0,48,62
2023-02-20,55.57142857142857,56.0,51,60
2023-02-27,50.142857142857146,50.0,47,53
2023-03-06,41.57142857142857,44.0,33,50
2023-03-13,55.0,52.0,49,64
2023-03-20,63.142857142857146,64.0,57,68
2023-03-27,61.0,61.0,57,64
2023-04-03,62.285714285714285,62.0,61,64
2023-04-10,65.71428571428571,68.0,61,68
2023-04-17,57.285714285714285,56.0,50,69
2023-04-24,58.42857142857143,59.0,53,64
2023-05-01,61.57142857142857,63.0,55,64
2023-05-08,51.42857142857143,51.0,48,60
2023-05-15,50.42857142857143,50.0,48,54
2023-05-22,49.57142857142857,50.0,48,51
2023-05-29,51.57142857142857,52.0,50,53
2023-06-05,49.42857142857143,50.0,44,53
2023-06-12,46.0,47.0,41,49
2023-06-19,58.714285714285715,62.0,47,65
2023-06-26,58.285714285714285,59.0,54,63
2023-07-03,58.714285714285715,58.0,55,64
2023-07-10,58.142857142857146,57.0,56,64
2023-07-17,53.142857142857146,54.0,50,56
2023-07-24,51.857142857142854,52.0,50,55
2023-07-31,51.57142857142857,52.0,49,54
2023-08-07,52.142857142857146,53.0,49,54
2023-08-14,45.42857142857143,50.0,37,53
2023-08-21,38.285714285714285,38.0,37,41
2023-08-28,42.57142857142857,40.0,39,52
2023-09-04,41.42857142857143,41.0,40,46
2023-09-11,41.42857142857143,43.0,30,46
